wade_giles chinese
AH 亚
AH 雅
AU 区
AU 欧
BIK 碧
BIK 璧
BING 丙
BING 冰
BING 秉
BING 炳
BIT 必
BONG 邦
BUN 斌
CHAI 仔
CHAI 齐
CHAI 齐
CHAK 翟
CHAK 泽
CHAM 湛
CHAN 陈
CHAN 灿
CHAN 璨
CHAN 镇
CHAN 赞
CHAN 瓒
CHANG 郑
CHAT 七
CHAU 舟
CHAU 周
CHAU 洲
CHAU 秋
CHAU 邹
CHEN 陈
CHENG 郑
CHEONG 张
CHEONG 章
CHEUK 灼
CHEUK 卓
CHEUK 卓
CHEUK 棹
CHEUK 绰
CHEUK 焯
CHEUNG 昌
CHEUNG 长
CHEUNG 张
CHEUNG 祥
CHEUNG 掌
CHEUNG 翔
CHEUNG 象
CHEUNG 璋
CHEUNG 蒋
CHEUNG 锵
CHI 子
CHI 之
CHI 次
CHI 池
CHI 志
CHI 枝
CHI 知
CHI 芝
CHI 芷
CHI 姿
CHI 祉
CHI 致
CHI 戚
CHI 梓
CHI 智
CHI 紫
CHI 慈
CHI 志
CHI 赐
CHI 炽
CHIANG 张
CHICK 戚
CHIGN 净
CHIK 戚
CHIK 绩
CHIK 积
CHIN 前
CHIN 展
CHIN 钱
CHIN 钱
CHIN 芊
CHING 正
CHING 呈
CHING 青
CHING 政
CHING 贞
CHING 情
CHING 清
CHING 晴
CHING 晶
CHING 程
CHING 程
CHING 菁
CHING 靖
CHING 精
CHING 澄
CHING 静
CHIT 哲
CHIU 肖
CHIU 招
CHIU 俏
CHIU 昭
CHIU 钊
CHIU 钏
CHIU 朝
CHIU 超
CHIU 照
CHIU 赵
CHIU 潮
CHIU 霄
CHO 祖
CHO 曹
CHO 袓
CHOI 才
CHOI 再
CHOI 材
CHOI 采
CHOI 财
CHOI 彩
CHOI 载
CHOI 蔡
CHOI 赛
CHOK 作
CHONG 壮
CHONG 庄
CHONG 庄
CHONG 创
CHOR 佐
CHOR 初
CHOR 楚
CHOR 础
CHOW 周
CHOW 邹
CHOY 蔡
CHU 朱
CHU 柱
CHU 珠
CHU 曙
CHU 焌
CHUEN 川
CHUEN 中
CHUEN 全
CHUEN 春
CHUEN 泉
CHUEN 传
CHUEN 铨
CHUI 徐
CHUI 崔
CHUI 隋
CHUI 翠
CHUI 趣
CHUM 覃
CHUN 俊
CHUN 津
CHUN 珍
CHUN 振
CHUN 晋
CHUN 浚
CHUN 真
CHUN 秦
CHUN 竣
CHUN 进
CHUN 隽
CHUN 榛
CHUN 臻
CHUN 骏
CHUN 椿
CHUN 蓁
CHUNG 仲
CHUNG 冲
CHUNG 宗
CHUNG 忠
CHUNG 松
CHUNG 重
CHUNG 从
CHUNG 颂
CHUNG 诵
CHUNG 聪
CHUNG 锺
CHUNG 锺
CHUNG 琮
CHUNG 璁
DIK 迪
DIK 荻
DIU 吊
FAT 发
FA 花
FAI 晖
FAI 辉
FAN 帆
FAN 芬
FAN 范
FAN 勋
FAN 熏
FANG 方
FAT 佛
FEI 飞
FEI 菲
FO 科
FOG 霍
FOK 霍
FONG 方
FONG 芳
FOO 火
FOO 伙
FOO 符
FOOK 服
FOOK 福
FOON 宽
FOON 欢
FORK 霍
FU 芙
FU 符
FU 傅
FU 富
FUI 奎
FUK 褔
FUNG 丰
FUNG 风
FUNG 峰
FUNG 烽
FUNG 逢
FUNG 冯
FUNG 冯
FUNG 枫
FUNG 凤
FUNG 锋
FUNG 丰
HING 兴
HA 夏
HA 夏
HA 霞
HAN 闲
HAN 娴
HANG 行
HANG 亨
HANG 杏
HANG 幸
HANG 幸
HANG 恒
HANG 衡
HANG 铿
HANG 姮
HANG 珩
HANG 蘅
HANG 恒
HAU 口
HAU 巧
HAU 孝
HAU 侯
HAU 厚
HAU 校
HEI 希
HEI 晞
HEI 喜
HEI 器
HEI 熹
HEI 羲
HEI 禧
HEI 曦
HEI 浠
HEUNG 向
HEUNG 香
HEUNG 香
HIM 谦
HIN 衍
HIN 轩
HIN 宪
HIN 献
HIN 骞
HIN 显
HING 卿
HING 庆
HING 罄
HING 馨
HIP 协
HIU 晓
HO 可
HO 好
HO 何
HO 河
HO 浩
HO 荷
HO 皓
HO 贺
HO 豪
HO 濠
HO 颢
HO 灏
HOI 海
HOI 凯
HOI 开
HOI 爱
HOI 恺
HOI 垲
HOI 铠
HOK 学
HOK 鹤
HON 侃
HON 汉
HON 翰
HON 韩
HON 瀚
HONG 匡
HONG 航
HONG 康
HONG 康
HOU 侯
HSU 许
HSUI 许
HUANG 黄
HUEN 萱
HUEN 禤
HUI 许
HUI 昫
HUNG 孔
HUNG 孔
HUNG 洪
HUNG 洪
HUNG 红
HUNG 虹
HUNG 雄
HUNG 熊
HUNG 熊
HUNG 鸿
HWANG 黄
I 漪
IP 叶
JIM 詹
KA 加
KA 圻
KA 家
KA 嘉
KA 珈
KAI 佳
KAI 契
KAI 桂
KAI 启
KAI 楷
KAI 继
KAI 棨
KAK 革
KAK 极
KAM 甘
KAM 甘
KAM 金
KAM 金
KAM 淦
KAM 琴
KAM 锦
KAM 鑫
KAN 芹
KAN 根
KAN 勤
KAN 简
KAN 谨
KANG 更
KANG 镜
KAR 贾
KAU 九
KAU 球
KEI 其
KEI 奇
KEI 祈
KEI 纪
KEI 基
KEI 淇
KEI 期
KEI 棋
KEI 琪
KEI 琦
KEI 祺
KEI 旗
KEI 玑
KEI 锜
KEI 麒
KEI 娸
KEI 颀
KEUNG 姜
KEUNG 强
KHOO 古
KIM 俭
KIM 剑
KIN 建
KIN 健
KIN 坚
KIN 键
KING 劲
KING 景
KING 敬
KING 璟
KING 琼
KING 竞
KIT 杰
KIT 杰
KIT 结
KIT 洁
KIU 乔
KIU 娇
KIU 桥
KIU 翘
KIU 荞
KO 高
KO 高
KOK 铬
KON 干
KONG 江
KONG 江
KONG 刚
KONG 港
KOO 古
KOON 冠
KOON 观
KOT 葛
KU 古
KUA 瓜
KUEN 娟
KUEN 权
KUI 巨
KUI 居
KUI 渠
KUI 驹
KUI 举
KUI 琚
KUK 公
KUK 局
KUK 谷
KUK 菊
KUN 贯
KUNG 功
KUNG 恭
KUNG 恭
KUNG 龚
KUO 古
KWAI 贵
KWAI 贵
KWAI 湀
KWAN 君
KWAN 均
KWAN 坤
KWAN 昆
KWAN 昆
KWAN 焜
KWAN 钧
KWAN 筠
KWAN 群
KWAN 关
KWAN 关
KWING 炯
KWOK 国
KWOK 郭
KWOK 郭
KWONG 光
KWONG 广
KWONG 邝
LAI 黎
LAI 赖
LAI 励
LAI 礼
LAI 丽
LAI 豊
LAI 鹂
LAM 林
LAM 林
LAM 淋
LAM 琳
LAM 霖
LAM 临
LAM 蓝
LAN 兰
LAP 立
LARM 蓝
LAU 柳
LAU 流
LAU 刘
LAU 鎏
LAW 罗
LEE 李
LEI 利
LEI 理
LEI 莉
LEI 奶
LEONG 梁
LEUNG 良
LEUNG 亮
LEUNG 梁
LEUNG 梁
LI 利
LI 李
LIANG 梁
LIAO 廖
LIEW 廖
LIK 力
LIK 历
LIM 林
LIM 廉
LIM 濂
LIN 连
LIN 连
LIN 莲
LING 令
LING 泠
LING 玲
LING 苓
LING 凌
LING 凌
LING 羚
LING 翎
LING 聆
LING 钤
LING 铃
LING 领
LING 龄
LING 灵
LIP 聂
LIT 烈
LIU 廖
LO 劳
LO 鲁
LO 卢
LOI 来
LOK 恪
LOK 洛
LOK 乐
LOK 诺
LOK 骆
LONG 朗
LONG 塱
LOO 卢
LOOK 陆
LOONG 龙
LOW 卢
LUEN 联
LUEN 銮
LUEN 鸾
LUET 律
LUI 吕
LUI 雷
LUI 雷
LUI 蕾
LUK 六
LUK 陆
LUK 陆
LUK 禄
LUM 林
LUN 伦
LUN 伦
LUN 仑
LUN 纶
LUN 麟
LUNG 隆
LUNG 浓
LUNG 龙
LUNG 龙
MA 马
MA 马
MAK 麦
MAN 文
MAN 文
MAN 民
MAN 汶
MAN 曼
MAN 问
MAN 敏
MAN 雯
MAN 万
MAN 旻
MANG 孟
MANG 萌
MAO 茂
MAR 马
MEI 眉
MEI 美
MEI 媚
MEI 微
MEI 薇
MEI 镁
MIN 冕
MING 名
MING 明
MING 明
MING 铭
MING 鸣
MIU 妙
MIU 苗
MIU 苗
MO 毛
MO 巫
MO 武
MO 武
MO 舞
MO 慕
MOK 莫
MOOK 木
MOON 满
MUI 妹
MUI 梅
MUK 牧
MUNG 梦
NAM 男
NAM 南
NAM 岚
NAM 楠
NANG 能
NAR 娜
NEI 妮
NEUNG 娘
NG 五
NG 伍
NG 伍
NG 吴
NG 梧
NGA 雅
NGAI 艾
NGAI 倪
NGAI 毅
NGAI 霓
NGAI 魏
NGAI 艺
NGAN 晏
NGAN 雁
NGAN 韧
NGAN 银
NGAN 颜
NGAN 颜
NGAU 牛
NGO 娥
NGO 敖
NGO 傲
NGON 岸
NIE 乃
NIN 年
NING 宁
NING 柠
NUI 女
O 敖
OI 蔼
ON 安
ON 铵
OR 柯
PAK 北
PAK 白
PAK 百
PAK 伯
PAK 柏
PAK 珀
PANG 彭
PANG 彭
PANG 鹏
PAT 毕
PAU 包
PEI 丕
PIK 碧
PIK 璧
PIN 卞
PING 平
PING 屏
PING 炳
PING 萍
PING 骋
PING 苹
PIU 标
PO 布
PO 步
PO 波
PO 保
PO 宝
POK 博
POK 璞
PONG 庞
POO 布
POON 本
POON 潘
POON 潘
PUI 沛
PUI 佩
PUI 佩
PUI 培
PUI 裴
PUI 钡
PUN 彬
PUN 潘
PUN 嫔
PUN 滨
SAI 世
SAI 西
SAI 细
SAI 茜
SAM 三
SAM 森
SAN 山
SANG 生
SAU 秀
SAU 修
SE 畲
SECK 石
SEE 施
SEI 四
SEK 石
SHAN 珊
SHE 畲
SHEK 石
SHEK 石
SHEK 硕
SHEUNG 尚
SHEUNG 湘
SHEUNG 嫦
SHEUNG 裳
SHEUNG 双
SHI 仕
SHIH 施
SHING 成
SHING 成
SHING 城
SHING 盛
SHING 胜
SHING 诚
SHING 铖
SHIU 萧
SHP 十
SHU 书
SHU 舒
SHU 树
SHUE 舒
SHUEN 孙
SHUK 淑
SHUM 岑
SHUM 沈
SHUN 信
SHUN 纯
SHUN 淳
SHUN 舜
SHUN 顺
SHUN 逊
SI 士
SI 史
SI 自
SI 施
SI 师
SI 时
SIK 式
SIK 锡
SIM 婵
SIN 仙
SIN 倩
SIN 单
SIN 善
SIN 羡
SIN 冼
SIN 僊
SIN 蒨
SING 升
SING 成
SING 承
SING 升
SING 星
SING 升
SING 圣
SING 声
SIT 薛
SIU 小
SIU 少
SIU 兆
SIU 邵
SIU 笑
SIU 绍
SIU 诏
SIU 肇
SIU 韶
SIU 啸
SIU 萧
SIU 劭
SO 素
SO 苏
SO 苏
SUEN 孙
SUEN 楦
SUEN 璇
SUET 雪
SUI 水
SUI 萃
SUI 瑞
SUI 穗
SUM 心
SUM 沈
SUM 芯
SUM 深
SUM 琛
SUN 申
SUN 辛
SUN 新
SUN 燊
SUNG 宋
SUNG 宋
SUNG 崇
SZE 司
SZE 思
SZE 施
SZE 施
SZE 斯
SZE 丝
SZE 诗
SZE 锶
TAI 大
TAI 弟
TAI 邸
TAI 娣
TAI 泰
TAI 带
TAI 棣
TAI 戴
TAK 特
TAK 得
TAK 德
TAM 谈
TAM 谭
TAM 谭
TAN 丹
TAN 陈
TANG 邓
TAO 杜
TAT 达
TAU 土
TAU 窦
TIM 添
TIM 甜
TIN 天
TIN 田
TIN 田
TIN 钿
TING 丁
TING 丁
TING 廷
TING 定
TING 延
TING 亭
TING 庭
TING 婷
TING 鼎
TING 霆
TING 渟
TIP 迭
TIT 铁
TO 杜
TO 徒
TO 桃
TO 淘
TO 都
TO 滔
TO 道
TO 图
TO 涛
TO 韬
TONG 唐
TONG 棠
TONG 汤
TSAM 沁
TSANG 曾
TSANG 增
TSE 谢
TSIM 詹
TSO 灶
TSO 曹
TSOI 蔡
TSUI 徐
TSUI 崔
TUEN 段
TUEN 端
TUNG 冬
TUNG 同
TUNG 彤
TUNG 东
TUNG 桐
TUNG 通
TUNG 栋
TUNG 童
TUNG 筒
TUNG 董
TUNG 董
TUNG 腾
TYE 戴
UNG 莺
VONG 黄
WAH 华
WAH 桦
WAH 烨
WAH 骅
WAI 位
WAI 威
WAI 为
WAI 韦
WAI 韦
WAI 伟
WAI 尉
WAI 帏
WAI 惠
