chinese,pinyin,taiwan,hk,macau,singapore,wade_giles
赵,ZHAO,CHAO,CHIU,CHIO,TEO/TIO,CHIU
钱,QIAN,CHIEN,CHIN,CHIN,ZEE/CHEE,CHIN
孙,SUN,SUN,SUEN,SUN,SOON/SNG,SUEN/SHUEN
李,LI,LEE/LI,LEE/LI,LEI,LEE,LI/LEE
周,ZHOU,CHOU,CHOW/CHAU,CHAO,CHEW,CHAU/CHOW
吴,WU,WU,NG,NG,GOH/NGO,NG
郑,ZHENG,CHENG,CHENG,CHEANG,TAY,CHENG/CHANG
王,WANG,WANG,WONG,VONG/WONG,ONG/HENG/WONG/WANG,WANG/WONG
冯,FENG,FENG,FUNG,FONG,PANG,FUNG
陈,CHEN,CHEN,CHAN,CHAN,TAN/CHAN/TING,CHAN/TAN/CHEN
褚,CHU,CHU,CHU,CHU,THI/SOO,
卫,WEI,WEI,WAI,WAI,WEE,WAI
蒋,JIANG,CHIANG,CHEUNG,CHEONG,CHIO,CHEUNG
沈,SHEN,SHEN,SHUM/SUM,SAM,SIM,SHUM/SUM
韩,HAN,HAN,HON,HON,HANG,HON
杨,YANG,YANG,YEUNG,IEONG,YEO/YEOH/YONG,YEUNG/YANG/YOUNG
朱,ZHU,CHU,CHU,CHU,CHOO,CHU
秦,QIN,CHIN,CHUN,CHUN,CHIN/CHING,CHUN
尤,YOU,YU,YAU,IAO,YEW,YAU
许,XU,HSU,HUI,HOI/HUI,HEE/KOH/KHOH,HSUI/HUI/HSU
何,HE,HO,HO,HO,HOR/HOH,HO
吕,LU/LYU/LV,LU,LUI,LOI,LI,LUI
施,SHI,SHIH,SZE,SI,SI/SEE,SEE/SZE/SHIH/SI
张,ZHANG,CHANG,CHEUNG,CHEONG,TEO/TEOH/CHEONG,CHEONG/ZHANG/CHIANG/CHEUNG
孔,KONG,KUNG,HUNG,HONG,KHONG,HUNG
曹,CAO,TSAO,CHO/TSO,CHOU,CHOW/CHAU,CHO/TSO
严,YAN,YEN,YIM,IM,GIAM/NGIAM,YIM
华,HUA,HUA,WA/WAH,VA,HOA/HUA,WAH
金,JIN,CHIN,KAM,KAM,KIM,KAM
魏,WEI,WEI,NGAI,NGAI,GUI/NGUI,NGAI
陶,TAO,TAO,TO/TAO,TOU,TAU/TOW,
姜,JIANG,CHIANG,KEUNG,KEONG,KIANG,KEUNG
戚,QI,CHI,CHIK,CHEK,CHEK,CHI/CHICK/CHIK
谢,XIE,HSIEH,TSE,CHE,CHEAH/TAY/CHIA,TSE
邹,ZOU,TSOU,CHAU/CHOW,CHAO/CHAU,CHEW/CHOU/CHU,CHAU/CHOW
喻,YU,YU,YU,U,ZU/JOO/JU,
柏,BAI,PO,PAK,PAK,PEK/PEH,PAK
水,SHUI,SHUI,SUI,SOI,CHWEE/CHUI,
窦,DOU,TOU,TAU,TAO,TOU/TOH,TAU
章,ZHANG,CHANG,CHEUNG,CHEONG,CHIO/CHIOH/CHEOH,CHEONG
云,YUN,YUN,WAN,WAN/VAN,HOON/HUNG,
苏,SU,SU,SO,SOU,SOH,SO
潘,PAN,PAN,POON/PUN,PUN,PHUA,POON/PUN
葛,GE,KO,KOT,KOT,KAT/KUAH,KOT
奚,XI,HSI,HAI,HAI,HEE,
范,FAN,FAN,FAN,FAN,HUANG,FAN
彭,PENG,PENG,PANG,PANG,PEH,PANG
郎,LANG,LANG,LONG,LONG,LONG/LANG,
鲁,LU,LU,LO,LOU,LOO,LO
韦,WEI,WEI,WAI,WAI,WEE,WAI
昌,CHANG,CHANG,CHEUNG,CHEONG,CHIANG,
马,MA,MA,MA,MA,BEH,MAR/MA
苗,MIAO,MIAO,MIU,MIO,MIAU,MIU
凤,FENG,FENG,FUNG,FONG,HONG,
花,HUA,HUA,FA,FA,HUAY,FA
方,FANG,FANG,FONG,FONG,PNG/PUNG,FONG/FANG
俞,YU,YU,YU,U,JOO/JU,YU/YUE
任,REN,JEN,YAM,IAM,ZIM/JIM,YAM
袁,YUAN,YUAN,YUEN,UN/IUN,WANG,YUEN
柳,LIU,LIU,LAU,LAO,LEW,LAU
酆,FENG,FENG,FUNG,FONG,HONG,
鲍,BAO,PAO,PAU,PAO,POW/PAU,
史,SHI,SHIH,SZE,SI,SZE/SU/SER,SI
